post_title,sku,images,product_page_url
Garnier Skin Naturals Light Facewash Fairness 100 mL,100073,https://ucpksa.com/wp-content/uploads/2025/09/203122.jpg ! alt : Garnier Sn Light Facewash Fairness 100 mL - 47419 ! title : 203122.jpg ! desc :  ! caption :,https://ucpksa.com/shop/garnier-sn-light-facewash-fairness-100ml/
Garnier Color Natural 3 Dark Brown,100074,https://ucpksa.com/wp-content/uploads/2025/09/203005_1.jpg ! alt : Garnier Color Nat 3 Dark Brown - 47421 ! title : 203005_1.jpg ! desc :  ! caption :,https://ucpksa.com/shop/garnier-color-nat-3-dark-brown/
Garnier Color Natural 6.1 Ash Blond,100075,https://ucpksa.com/wp-content/uploads/2025/09/203018.jpg ! alt : Garnier Color Nat 6.1 Ash Blond - 47423 ! title : 203018.jpg ! desc :  ! caption :,https://ucpksa.com/shop/garnier-color-nat-6-1-ash-blond/
Garnier Color Natural 7.1 Ash Blond,100076,https://ucpksa.com/wp-content/uploads/2025/09/203024_1.jpg ! alt : Garnier Color Nat 7.1 Ash Blond - 47425 ! title : 203024_1.jpg ! desc :  ! caption :,https://ucpksa.com/shop/garnier-color-nat-7-1-ash-blond/
Garnier Color Natural 4 Brown,100077,https://ucpksa.com/wp-content/uploads/2025/09/203008.jpg ! alt : Garnier Color Nat 4 Brown - 47427 ! title : 203008.jpg ! desc :  ! caption :,https://ucpksa.com/shop/garnier-color-nat-4-brown/
Garnier Color Natural 8.1 Light Ash Blond,100078,https://ucpksa.com/wp-content/uploads/2025/09/203027.jpg ! alt : Garnier Color Nat 8.1 Light Ash Blond - 47429 ! title : 203027.jpg ! desc :  ! caption :,https://ucpksa.com/shop/garnier-color-nat-8-1-light-ash-blond/
Garnier Color Natural 5 Light Brown,100079,https://ucpksa.com/wp-content/uploads/2025/09/203012.jpg ! alt : Garnier Color Nat 5 Light Brown - 47431 ! title : 203012.jpg ! desc :  ! caption :,https://ucpksa.com/shop/garnier-color-nat-5-light-brown/
Garnier Color Natural 6 Dark Blond,100080,https://ucpksa.com/wp-content/uploads/2025/09/203017.jpg ! alt : Garnier Color Nat 6 Dark Blond - 47433 ! title : 203017.jpg ! desc :  ! caption :,https://ucpksa.com/shop/garnier-color-nat-6-dark-blond/
Garnier Color Natural 6.34 Chocolate,100081,https://ucpksa.com/wp-content/uploads/2025/09/203021.jpg ! alt : Garnier Color Nat 6.34 Chocolate - 47435 ! title : 203021.jpg ! desc :  ! caption :,https://ucpksa.com/shop/garnier-color-nat-6-34-chocolate/
Garnier Color Natural 5.n Medium Brown,100082,https://ucpksa.com/wp-content/uploads/2025/09/222861201.jpg ! alt : Garnier Color Nat 5.n Medium Brown - 47437 ! title : 222861201.jpg ! desc :  ! caption :,https://ucpksa.com/shop/garnier-color-nat-5-n-medium-brown/
Garnier Color Natural 8 Light Blond,100083,https://ucpksa.com/wp-content/uploads/2025/09/203026_1.jpg ! alt : Garnier Color Nat 8 Light Blond - 47439 ! title : 203026_1.jpg ! desc :  ! caption :,https://ucpksa.com/shop/garnier-color-nat-8-light-blond/
Garnier Color Natural 7.7 Deer Brown,100084,https://ucpksa.com/wp-content/uploads/2025/09/218986_1.jpg ! alt : Garnier Color Nat 7.7 Deer Brown - 47441 ! title : 218986_1.jpg ! desc :  ! caption :,https://ucpksa.com/shop/garnier-color-nat-7-7-deer-brown/
Garnier Color Natural 7 Blond,100085,https://ucpksa.com/wp-content/uploads/2025/09/203023.jpg ! alt : Garnier Color Nat 7 Blond - 47445 ! title : 203023.jpg ! desc :  ! caption :,https://ucpksa.com/shop/garnier-color-nat-7-blond/
Garnier Color Natural 6.7 Chocolate Brown,100086,https://ucpksa.com/wp-content/uploads/2025/09/218985_2.jpg ! alt : Garnier Color Nat 6.7 Chocolate Brown - 47447 ! title : 218985_2.jpg ! desc :  ! caption :,https://ucpksa.com/shop/garnier-color-nat-6-7-chocolate-brown/
Garnier Color Natural 5.1 Light Ash Brown,100087,https://ucpksa.com/wp-content/uploads/2025/09/228794_1.jpg ! alt : Garnier Color Nat 5.1 Light Ash Brown - 47449 ! title : 228794_1.jpg ! desc :  ! caption :,https://ucpksa.com/shop/garnier-color-nat-5-1-light-ash-brown/
